Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_003_ONWHITE_5000x5000_4c9addd4-2dd0-4b25-8e22-975e98b1ece3.jpg?v=1779447955,5,"",,,,,,,,,,,,
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_002_ONWHITE_5000x5000_8e1ae817-d87e-4986-a3ce-c8a2444d4d12.jpg?v=1779447956,6,"",,,,,,,,,,,,
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_FLOWER_BOWL_001_ONWHITE_5000x5000_6089b101-b327-4db2-99de-995b14641b11.jpg?v=1779447966,7,"",,,,,,,,,,,,
alley-cats-xl-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_XL_BONG_WITHBOX_001_ONWHITE_5000x5000_7d3e14f1-6778-4b09-9966-3fae83db9097.jpg?v=1779447985,8,"",,,,,,,,,,,,
alley-cats-bong,Alley Cats Bong,"<p>A cat-shaped borosilicate water pipe that actually performs. Roughly 9 inches tall, with a built-in percolator for cooler, more filtered draws. 14mm female joint — any standard bowl fits. Bold enough to leave on the shelf, easy enough to reach for daily.</p>",Hemper,"Food, Beverages & Tobacco > Cannabis Products > Pipes & Bongs",Water Pipe,"cat-collection, hemper",true,Title,Default Title,,,,,,,,WP1125,285.1962026375,shopify,9,continue,manual,59.99,,true,true,,,,,810190991442,https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_001_ONWHITE_5000x5000_5087c12c-433a-4b4b-8a7c-89e271471c85.jpg?v=1779448079,1,"",false,Alley Cats Bong — Cat-Shaped Glass Bong | FLOW3R,A 9-inch cat-shaped borosilicate bong with built-in percolator and 14mm joint. Part of the Alley Cats collection. Ships discreet from California.,1,gray; clear,glass,free-form,,oz,,25.00,active
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_004_ONWHITE_5000x5000_a4d30382-3d2a-443c-b86b-f6069c9ebc1d.jpg?v=1779448079,2,"",,,,,,,,,,,,
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_002_ONWHITE_5000x5000_3ccef00f-d1da-4593-93f1-05cc4d076d98.jpg?v=1779448079,3,"",,,,,,,,,,,,
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_006_ONWHITE_5000x5000_3c388159-1f81-4d0d-b3bd-1079a9adf9a8.jpg?v=1779448079,4,"",,,,,,,,,,,,
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_003_ONWHITE_5000x5000_e4681178-d8b6-445a-8784-b3f6e80ff885.jpg?v=1779448079,5,"",,,,,,,,,,,,
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_005_ONWHITE_5000x5000_9bb6f173-aadd-4e59-b936-5c05908455d2.jpg?v=1779448078,6,"",,,,,,,,,,,,
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_WITHBOX_001_ONWHITE_5000x5000_87b7ad7d-4465-434b-b76f-93c3d5b208e7.jpg?v=1779448085,7,"",,,,,,,,,,,,
alley-cats-bong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/HEMPER_ALLEY_CATS_BONG_PACKAGING__001_ONWHITE_5000x5000_ebf84a44-cefb-40ca-abfb-5a230da8e3a7.jpg?v=1779448094,8,"",,,,,,,,,,,,
8-flow3r-water-pipe,"8"" FLOW3R Water Pipe","<p>The FLOW3R 8-inch water pipe — a clear borosilicate beaker built to last and to look good doing it. A wide beaker base for stability and water volume, a built-in ice pinch for cooler draws, and a colored rim accent in pink, blue, or green. 18.8mm downstem joint with a 14.5mm bowl included. Glass made to sit on the shelf, not hide in a drawer.</p>",FLOW3R,Home & Garden > Smoking Accessories,"","",true,Color,green-rim,product.metafields.shopify.color-pattern,,,,,,,,310.0,shopify,10,continue,manual,34.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/greenlarge.png?v=1779407616,1,"",false,"8"" Borosilicate Water Pipe — Beaker Bong | FLOW3R","A clear borosilicate beaker water pipe with a built-in ice pinch and colored rim. 8 inches, three colorways, 1-year guarantee. Ships discreet from California.",,pink-rim; blue-rim; green-rim,glass,,https://cdn.shopify.com/s/files/1/0728/8189/7542/files/greenlarge.png?v=1779407616,g,,8.95,active
8-flow3r-water-pipe,,,,,,,,,pink-rim,,,,,,,,,310.0,shopify,10,continue,manual,34.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/pinklarge.png?v=1779407615,2,"",,,,,,,,https://cdn.shopify.com/s/files/1/0728/8189/7542/files/pinklarge.png?v=1779407615,g,,8.95,
8-flow3r-water-pipe,,,,,,,,,blue-rim,,,,,,,,,310.0,shopify,10,continue,manual,34.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0728/8189/7542/files/bluelarge.png?v=1779407616,3,"",,,,,,,,https://cdn.shopify.com/s/files/1/0728/8189/7542/files/bluelarge.png?v=1779407616,g,,8.95,
